ID,p0,p1,contrast,relative_ID,phonemic_contrast,postvocalic_consonant,edit success? (F),edit success? (M),M or F re-record,notes,,Legend,,
150,rick,rig,vs,31,/k/ v /g/,1,,,,,,,,
151,smock,smog,vs,32,/k/ v /g/,1,,,,,,,,
152,tuck,tug,vs,33,/k/ v /g/,1,,,,,,,,
153,cat,gat,vs,34,/k/ v /g/,0,,,,,,,,
154,cave,gave,vs,35,/k/ v /g/,0,,,,,,,,
155,class,glass,vs,36,/k/ v /g/,0,,,,,,,,
156,plank,blank,vs,37,/p/ v /b/,0,,,,,,,,
157,pin,bin,vs,38,/p/ v /b/,0,,,,,,,,
158,pile,bile,vs,39,/p/ v /b/,0,,,,,,,,
159,pi,by,vs,40,/p/ v /b/,0,,,,,,,,
160,peed,bead,vs,41,/p/ v /b/,0,,,,,,,,
161,peach,beach,vs,42,/p/ v /b/,0,,,,,,,,
162,pay,bay,vs,43,/p/ v /b/,0,,,,,,,,
163,patty,batty,vs,44,/p/ v /b/,0,,,,,,,,
164,pat,bat,vs,45,/p/ v /b/,0,,,,,,,,
165,paste,baste,vs,46,/p/ v /b/,0,,,,,,,,
166,par,bar,vs,47,/p/ v /b/,0,,,,,,,,
167,pang,bang,vs,48,/p/ v /b/,0,,,,,,,,
168,pant,bant,vs,49,/p/ v /b/,0,,,,,,,,
169,poop,boop,vs,50,/p/ v /b/,0,,,,,,,,
170,pan,ban,vs,51,/p/ v /b/,0,,,,,,,,
171,pair,bare,vs,52,/p/ v /b/,0,,,,,,,,
172,pain,bane,vs,53,/p/ v /b/,0,,,,,,,,
173,pack,back,vs,54,/p/ v /b/,0,,,,,,,,
174,pee,bee,vs,55,/p/ v /b/,0,,,,,,,,
175,lope,lobe,vs,56,/p/ v /b/,1,,,,,,,,
176,lip,lib,vs,57,/p/ v /b/,1,,,,,,,,
177,nap,nab,vs,58,/p/ v /b/,1,,,,,,,,
178,dep,deb,vs,59,/p/ v /b/,1,,,,,,,,
179,cop,cob,vs,60,/p/ v /b/,1,ALL COMPLETE!,,,,,,,
,,,,,,,,,,,,,,
,,,,,,59,<-total postvocalic contrasts,,,,,,,
,,,,,,121,<-remaining ,,,,,,,
